course,question,optionA,optionB,optionC,optionD,correctAnswer,,,
GNS106,JTB is a view in the area of:,Reality,Morality,Knowledge,Metaethics,C,,,
GNS106,Philosophical problems cannot be tackled through:,Accumulation of facts,Reflective reasoning,Interrogation of ideas,Explanation of how things are,A,,,
GNS106,Philosophical problems are not:,General,Fundamental,Abstract,Conciliatory,D,,,
GNS106,Philosophical problems search for answers to questions of:,Reality,Existence,Knowledge,All of the above,D,,,
GNS106,An approach to philosophical problems is not:,Critical thinking,Conceptual analysis,Reconstruction of ideas,Values reassessment,D,,,
GNS106,The truth value of ¬p when p is True is:,TRUE,FALSE,Undetermined,Invalid,B,,,
GNS106,The truth value of ¬p when p is False is:,TRUE,FALSE,Undetermined,Invalid,A,,,
GNS106,The Socratic method is likened to a:,Midwife approach,Logical proof,Scientific method,Analytical tool,A,,,
GNS106,The deductive method derives conclusions from:,General to specific,Specific to general,Observations,Hypotheses,A,,,
GNS106,The inductive method can lead to errors like:,False cause,Hasty generalization,Equivocation,All of the above,D,,,
GNS106,Existentialism emphasizes:,Individual freedom,Logical analysis,Scientific proof,Moral rules,A,,,
GNS106,Logical Positivists are associated with the:,Vienna Circle,Socratic Group,Aristotelian Society,Existentialist Union,A,,,
GNS106,The phenomenological method focuses on:,Objective observation,Subjective analysis,Logical deduction,Language clarification,A,,,
GNS106,The term 'Tabula Rasa' was used by:,Locke,Aristotle,Socrates,Kierkegaard,A,,,
GNS106,Hedonism equates good with:,Pleasure,Pain,Utility,Duty,A,,,
GNS106,Altruism is derived from the French word:,Altrui,Egoism,Utilite,Morale,A,,,
GNS106,Epistemology studies the nature of:,Knowledge,Reality,Ethics,Logic,A,,,
GNS106,Metaphysics studies things ___ nature:,Within,Beyond,About,Below,B,,,
GNS106,African philosophy reflects on the African’s:,Experience,Reality,Knowledge,Beliefs,A,,,
GNS106,African ethics deals with concepts of:,Good and evil,Morality,Obligation,All of the above,D,,,
GNS106,The laws of thought include the law of:,Identity,Contradiction,Excluded Middle,All of the above,D,,,
GNS106,The symbol for conjunction is:,Vel,Tilde,Horseshoe,Dot,D,,,
GNS106,The quotation about mankind’s nature implies man is:,Part of nature,Separate from nature,Both A and B,None of the above,C,,,
GNS106,Philosophy requires a ___ mind:,Reflective,Analytical,Critical,All of the above,D,,,
GNS106,Technological advancement requires:,Critical reflection,Scientific knowledge,Geographical knowledge,Cultural understanding,A,,,
GNS106,Philosophy is defined as the love of:,Wisdom,Knowledge,Truth,Logic,A,,,
GNS106,The problem of freewill is a:,Philosophical problem,Scientific problem,Technical problem,Cultural problem,A,,,
GNS106,The law of identity is expressed as:,A is A,A is not A,A is true,A is false,A,,,
GNS106,The law of contradiction prevents a proposition from being:,True and false,TRUE,FALSE,Undetermined,A,,,
GNS106,The law of excluded middle ensures a proposition is:,True or false,TRUE,FALSE,Undetermined,A,,,
GNS106,The validity of an argument depends on its:,Content,Structure,Truth,Conclusion,B,,,
GNS106,An invalid argument allows accepting premises and rejecting:,Conclusion,Premises,Propositions,Reasons,A,,,
GNS106,Fallacies of relevance are also known as:,Ignoratio elenchi,Non sequitur,Modus Ponens,Modus Tollens,A,,,
GNS106,The fallacy of equivocation involves:,Ambiguous terms,False causes,Hasty generalizations,Attacking the person,A,,,
GNS106,The fallacy of composition assumes the whole has the properties of:,Parts,Individuals,Groups,Classes,A,,,
GNS106,The fallacy of division assumes parts have the properties of:,The whole,Individuals,Groups,Classes,A,,,
GNS106,Argumentum ad Hominem can be abusive or:,Circumstantial,Provincial,Conditional,Logical,A,,,
GNS106,The Socratic method is characterized by:,Questioning,Debating,Analyzing,Observing,A,,,
GNS106,The deductive method is associated with:,Aristotle,Socrates,Locke,Kierkegaard,A,,,
GNS106,The phenomenological method was developed by:,Husserl,Wittgenstein,Kierkegaard,Socrates,A,,,
GNS106,African philosophy emphasizes the African’s:,Worldview,Experience,Beliefs,All of the above,D,,,
GNS106,The Logical Positivists criticized metaphysics for lacking:,Verification,Logic,Subjectivity,Objectivity,A,,,
GNS106,The term 'altruism' opposes the concept of:,Egoism,Hedonism,Utilitarianism,Emotivism,A,,,
GNS106,The branch of philosophy dealing with moral conduct is:,Ethics,Metaphysics,Epistemology,Logic,A,,,
GNS106,The quotation about economics and technology emphasizes:,Human service,Moral judgment,Technological progress,Scientific discovery,A,,,
GNS106,Philosophy is considered the science of:,All sciences,Some sciences,Technology,Culture,A,,,
GNS106,The problem of induction is a:,Philosophical problem,Scientific problem,Technical problem,Cultural problem,A,,,
GNS106,The law of excluded middle is a:,Law of thought,Law of nature,Law of ethics,Law of logic,A,,,
GNS106,The symbol for negation is a:,Tilde,Horseshoe,Vel,Dot,A,,,
GNS106,The validity of an argument is determined by its:,Structure,Content,Truth,Conclusion,A,,,
GNS106,The fallacy of hasty generalization involves:,Jumping to conclusions,False causes,Ambiguous terms,Attacking the person,A,,,
GNS106,The African philosophy of law deals with:,Indigenous laws,Human rights,Contracts,All of the above,D,,,
GNS106,The study of African philosophy helps eliminate:,Superstitions,Unsubstantiated beliefs,Both A and B,None of the above,C,,,
GNS106,Philosophy is defined as a rational search for:,Answers to ultimate questions,Knowledge,Truth,Wisdom,A,,,
GNS106,The problem of the existence of spirits is a:,Metaphysical problem,Epistemological problem,Ethical problem,Logical problem,A,,,
GNS106,The deductive method ensures conclusions are:,Certain,Probable,Uncertain,Invalid,A,,,
GNS106,The inductive method relies on:,Observations,Generalizations,Both A and B,None of the above,C,,,
GNS106,The Socratic method is also known as the:,Midwife approach,Logical proof,Scientific method,Analytical tool,A,,,
GNS106,The Logical Positivists are also called the:,Vienna Circle,Socratic Group,Aristotelian Society,Existentialist Union,A,,,
GNS106,The phenomenological method seeks to describe:,Awareness,Reality,Logic,Language,A,,,
GNS106,The term 'Tabula Rasa' refers to a:,Blank slate,Clean slate,Empty mind,All of the above,D,,,
GNS106,Hedonism considers ___ as the highest good:,Pleasure,Pain,Utility,Duty,A,,,
GNS106,Altruism is the opposite of:,Egoism,Hedonism,Utilitarianism,Emotivism,A,,,
GNS106,Epistemology questions the nature of:,Knowledge,Reality,Ethics,Logic,A,,,
GNS106,Metaphysics deals with things ___ nature:,Within,Beyond,About,Below,B,,,
GNS106,African philosophy reflects on the African’s:,Experience,Reality,Knowledge,Beliefs,A,,,
GNS106,African ethics addresses:,Good and evil,Morality,Obligation,All of the above,D,,,
GNS106,The laws of thought were propounded by:,Aristotle,Socrates,Locke,Omoregbe,A,,,
GNS106,The symbol for conjunction is a:,Vel,Tilde,Horseshoe,Dot,D,,,
GNS106,The quotation about mankind’s nature implies man is:,Part of nature,Separate from nature,Both A and B,None of the above,C,,,
GNS106,Philosophy requires a ___ mind:,Reflective,Analytical,Critical,All of the above,D,,,
GNS106,Technological advancement requires:,Critical reflection,Scientific knowledge,Geographical knowledge,Cultural understanding,A,,,
GNS106,Philosophy is defined as the love of:,Wisdom,Knowledge,Truth,Logic,A,,,
GNS106,The problem of freewill is a:,Philosophical problem,Scientific problem,Technical problem,Cultural problem,A,,,
GNS106,The law of identity is expressed as:,A is A,A is not A,A is true,A is false,A,,,
GNS106,The law of contradiction prevents a proposition from being:,True and false,TRUE,FALSE,Undetermined,A,,,
GNS106,The law of excluded middle ensures a proposition is:,True or false,TRUE,FALSE,Undetermined,A,,,
GNS106,The validity of an argument depends on its:,Structure,Content,Truth,Conclusion,A,,,
GNS106,The fallacy of equivocation involves:,Ambiguous terms,False causes,Hasty generalizations,Attacking the person,A,,,
GNS106,The fallacy of composition assumes the whole has the properties of:,Parts,Individuals,Groups,Classes,A,,,
GNS106,The fallacy of division assumes parts have the properties of:,The whole,Individuals,Groups,Classes,A,,,
GNS106,Argumentum ad Hominem can be abusive or:,Circumstantial,Provincial,Conditional,Logical,A,,,
GNS106,The Socratic method is characterized by:,Questioning,Debating,Analyzing,Observing,A,,,
GNS106,The deductive method is associated with:,Aristotle,Socrates,Locke,Kierkegaard,A,,,
GNS106,The phenomenological method was developed by:,Husserl,Wittgenstein,Kierkegaard,Socrates,A,,,
GNS106,African philosophy emphasizes the African’s:,Worldview,Experience,Beliefs,All of the above,D,,,
GNS106,The Logical Positivists criticized metaphysics for lacking:,Verification,Logic,Subjectivity,Objectivity,A,,,
GNS106,The term 'altruism' opposes the concept of:,Egoism,Hedonism,Utilitarianism,Emotivism,A,,,
GNS106,The branch of philosophy dealing with moral conduct is:,Ethics,Metaphysics,Epistemology,Logic,A,,,
GNS106,The quotation about economics and technology emphasizes:,Human service,Moral judgment,Technological progress,Scientific discovery,A,,,
GNS106,Philosophy is considered the science of:,All sciences,Some sciences,Technology,Culture,A,,,
GNS106,The problem of induction is a:,Philosophical problem,Scientific problem,Technical problem,Cultural problem,A,,,
GNS106,The law of excluded middle is a:,Law of thought,Law of nature,Law of ethics,Law of logic,A,,,
GNS106,The symbol for negation is a:,Tilde,Horseshoe,Vel,Dot,A,,,
GNS106,The validity of an argument is determined by its:,Structure,Content,Truth,Conclusion,A,,,
GNS106,The fallacy of hasty generalization involves:,Jumping to conclusions,False causes,Ambiguous terms,Attacking the person,A,,,
GNS106,The African philosophy of law deals with:,Indigenous laws,Human rights,Contracts,All of the above,D,,,
GNS106,The study of African philosophy helps eliminate:,Superstitions,Unsubstantiated beliefs,Both A and B,None of the above,C,,,
GNS106,Philosophy is defined as a rational search for:,Answers to ultimate questions,Knowledge,Truth,Wisdom,A,,,
GNS106,The problem of the existence of spirits is a:,Metaphysical problem,Epistemological problem,Ethical problem,Logical problem,A,,,
GNS106,The deductive method ensures conclusions are:,Certain,Probable,Uncertain,Invalid,A,,,
GNS106,The inductive method relies on:,Observations,Generalizations,Both A and B,None of the above,C,,,
GNS106,The Socratic method is also known as the:,Midwife approach,Logical proof,Scientific method,Analytical tool,A,,,
GNS106,The Logical Positivists are also called the:,Vienna Circle,Socratic Group,Aristotelian Society,Existentialist Union,A,,,
GNS106,The phenomenological method seeks to describe:,Awareness,Reality,Logic,Language,A,,,
GNS106,The term 'Tabula Rasa' refers to a:,Blank slate,Clean slate,Empty mind,All of the above,D,,,
GNS106,Hedonism considers ___ as the highest good:,Pleasure,Pain,Utility,Duty,A,,,
GNS106,Altruism is the opposite of:,Egoism,Hedonism,Utilitarianism,Emotivism,A,,,
GNS106,Epistemology questions the nature of:,Knowledge,Reality,Ethics,Logic,A,,,
GNS106,Metaphysics deals with things ___ nature:,Within,Beyond,About,Below,B,,,
GNS106,African philosophy reflects on the African’s:,Experience,Reality,Knowledge,Beliefs,A,,,
GNS106,African ethics addresses:,Good and evil,Morality,Obligation,All of the above,D,,,
GNS106,The laws of thought were propounded by:,Aristotle,Socrates,Locke,Omoregbe,A,,,
GNS106,The symbol for conjunction is a:,Vel,Tilde,Horseshoe,Dot,D,,,
GNS106,The quotation about mankind’s nature implies man is:,Part of nature,Separate from nature,Both A and B,None of the above,C,,,
GNS106,Philosophy requires a ___ mind:,Reflective,Analytical,Critical,All of the above,D,,,
GNS106,Technological advancement requires:,Critical reflection,Scientific knowledge,Geographical knowledge,Cultural understanding,A,,,
GNS106,Philosophy is defined as the love of:,Wisdom,Knowledge,Truth,Logic,A,,,
GNS106,The problem of freewill is a:,Philosophical problem,Scientific problem,Technical problem,Cultural problem,A,,,
GNS106,The law of identity is expressed as:,A is A,A is not A,A is true,A is false,A,,,
GNS106,The law of contradiction prevents a proposition from being:,True and false,TRUE,FALSE,Undetermined,A,,,
GNS106,The law of excluded middle ensures a proposition is:,True or false,TRUE,FALSE,Undetermined,A,,,
GNS106,The validity of an argument depends on its:,Structure,Content,Truth,Conclusion,A,,,
GNS106,The fallacy of equivocation involves:,Ambiguous terms,False causes,Hasty generalizations,Attacking the person,A,,,
GNS106,The fallacy of composition assumes the whole has the properties of:,Parts,Individuals,Groups,Classes,A,,,
GNS106,The fallacy of division assumes parts have the properties of:,The whole,Individuals,Groups,Classes,A,,,
GNS106,Argumentum ad Hominem can be abusive or:,Circumstantial,Provincial,Conditional,Logical,A,,,
GNS106,The Socratic method is characterized by:,Questioning,Debating,Analyzing,Observing,A,,,
GNS106,The deductive method is associated with:,Aristotle,Socrates,Locke,Kierkegaard,A,,,
GNS106,The phenomenological method was developed by:,Husserl,Wittgenstein,Kierkegaard,Socrates,A,,,
GNS106,African philosophy emphasizes the African’s:,Worldview,Experience,Beliefs,All of the above,D,,,
GNS106,The Logical Positivists criticized metaphysics for lacking:,Verification,Logic,Subjectivity,Objectivity,A,,,
GNS106,The term 'altruism' opposes the concept of:,Egoism,Hedonism,Utilitarianism,Emotivism,A,,,
GNS106,The branch of philosophy dealing with moral conduct is:,Ethics,Metaphysics,Epistemology,Logic,A,,,
GNS106,The quotation about economics and technology emphasizes:,Human service,Moral judgment,Technological progress,Scientific discovery,A,,,
GNS106,Philosophy is considered the science of:,All sciences,Some sciences,Technology,Culture,A,,,
GNS106,The problem of induction is a:,Philosophical problem,Scientific problem,Technical problem,Cultural problem,A,,,
GNS106,The law of excluded middle is a:,Law of thought,Law of nature,Law of ethics,Law of logic,A,,,
GNS106,The symbol for negation is a:,Tilde,Horseshoe,Vel,Dot,A,,,
GNS106,The validity of an argument is determined by its:,Structure,Content,Truth,Conclusion,A,,,
GNS106,The fallacy of hasty generalization involves:,Jumping to conclusions,False causes,Ambiguous terms,Attacking the person,A,,,
GNS106,The African philosophy of law deals with:,Indigenous laws,Human rights,Contracts,All of the above,D,,,
GNS106,The study of African philosophy helps eliminate:,Superstitions,Unsubstantiated beliefs,Both A and B,None of the above,C,,,
GNS106,Philosophy is defined as a rational search for:,Answers to ultimate questions,Knowledge,Truth,Wisdom,A,,,
GNS106,The problem of the existence of spirits is a:,Metaphysical problem,Epistemological problem,Ethical problem,Logical problem,A,,,
GNS106,The deductive method ensures conclusions are:,Certain,Probable,Uncertain,Invalid,A,,,
GNS106,The inductive method relies on:,Observations,Generalizations,Both A and B,None of the above,C,,,
GNS106,The truth value of ?(p ? q) when p is True and q is False is:,TRUE,FALSE,Undetermined,None,A,,,
GNS106,The truth value of ?(p ? q) when p is False and q is True is:,TRUE,FALSE,Undetermined,None,B,,,
GNS106,The truth value of (p ? q) ? p when p is True and q is True is:,TRUE,FALSE,Undetermined,None,A,,,
GNS106,The truth value of (p ? q) ? ?p when p is False and q is False is:,TRUE,FALSE,Undetermined,None,A,,,
GNS106,The truth value of (p ? q) ? ?q when p is True and q is False is:,TRUE,FALSE,Undetermined,None,A,,,
GNS106,The philosophical method that involves questioning to elicit truth is:,Socratic,Deductive,Inductive,Analytic,A,,,
GNS106,The philosopher associated with the concept of 'Tabula Rasa' is:,Plato,Locke,Aristotle,Kant,B,,,
GNS106,The Socratic method is primarily used to:,Clarify concepts,Prove theorems,Analyze language,Observe phenomena,A,,,
GNS106,The deductive method reasons from:,General to specific,Specific to general,Observations to conclusions,Hypotheses to facts,A,,,
GNS106,An example of a deductive argument is:,Some birds fly; this bird flies,All men are mortal; Socrates is mortal,Some men are tall; he is tall,Most birds fly; this bird flies,B,,,
GNS106,The inductive method is associated with:,Certainty,Probability,Validity,Soundness,B,,,
GNS106,The fallacy of hasty generalization occurs when:,A conclusion is based on insufficient evidence,A term is used ambiguously,A person is attacked,The whole is assumed to have parts' properties,A,,,
GNS106,The philosopher who developed phenomenology is:,Husserl,Kierkegaard,Wittgenstein,Sartre,A,,,
GNS106,Phenomenology focuses on:,Subjective experience,Objective reality,Logical analysis,Language clarification,A,,,
GNS106,The Logical Positivists emphasized that meaningful statements must be:,Verifiable,Subjective,Abstract,Emotional,A,,,
GNS106,The moral theory that emphasizes the greatest good for the greatest number is:,Egoism,Utilitarianism,Hedonism,Altruism,B,,,
GNS106,The theory that moral judgments express emotions is:,Emotivism,Utilitarianism,Hedonism,Egoism,A,,,
GNS106,The existentialist philosopher who emphasized individual freedom is:,Sartre,Aristotle,Locke,Husserl,A,,,
GNS106,The term 'altruism' was coined by:,Comte,Bentham,Mill,Fletcher,A,,,
GNS106,Altruism prioritizes the welfare of:,Others,Self,Society,Individuals,A,,,
GNS106,The branch of philosophy concerned with the nature of reality is:,Ethics,Metaphysics,Epistemology,Logic,B,,,
GNS106,The branch of philosophy that studies knowledge is:,Ethics,Metaphysics,Epistemology,Logic,C,,,
GNS106,The theory that denies the existence of God is:,Theism,Atheism,Existentialism,Emotivism,B,,,
GNS106,The African philosopher who defined philosophy as a discovery of the African world is:,Okolo,Gbadegesin,Tempels,Hountondji,A,,,
GNS106,African philosophy emphasizes the study of:,African experience,Universal truths,Scientific methods,Logical proofs,A,,,
GNS106,The law of identity states that:,A is A,A is not A,A is true,A is false,A,,,
GNS106,The law of contradiction asserts that a proposition cannot be:,True and false,TRUE,FALSE,Undetermined,A,,,
GNS106,The law of excluded middle states that a proposition is:,True or false,TRUE,FALSE,Undetermined,A,,,
GNS106,The symbol for logical conjunction is:,Vel,Tilde,Horseshoe,Dot,D,,,
GNS106,The symbol for logical disjunction is:,Vel,Tilde,Horseshoe,Dot,A,,,
GNS106,The symbol for negation is:,Vel,Tilde,Horseshoe,Dot,B,,,
GNS106,The fallacy of appeal to force is known as:,Argumentum ad Baculum,Argumentum ad Populum,Argumentum ad Hominem,Argumentum ad Ignorantiam,A,,,
GNS106,The fallacy of appeal to pity is known as:,Argumentum ad Baculum,Argumentum ad Misericordiam,Argumentum ad Hominem,Argumentum ad Ignorantiam,B,,,
GNS106,The fallacy of appeal to ignorance is known as:,Argumentum ad Baculum,Argumentum ad Populum,Argumentum ad Ignorantiam,Argumentum ad Verecundiam,C,,,
GNS106,An argument is valid if:,Premises are true,Conclusion is true,Premises logically imply conclusion,Conclusion is probable,C,,,
GNS106,An argument is sound if it is:,Valid with true premises,Invalid with true premises,Valid with false premises,Invalid with false premises,A,,,
GNS106,The rule of modus ponens states:,If p then q; p; therefore q,If p then q; not q; therefore not p,If p then q; q; therefore p,If p then q; not p; therefore not q,A,,,
GNS106,The rule of modus tollens states:,If p then q; p; therefore q,If p then q; not q; therefore not p,If p then q; q; therefore p,If p then q; not p; therefore not q,B,,,
GNS106,The fallacy of affirming the consequent is:,If p then q; q; therefore p,If p then q; p; therefore q,If p then q; not q; therefore not p,If p then q; not p; therefore not q,A,,,
GNS106,The fallacy of denying the antecedent is:,If p then q; not p; therefore not q,If p then q; p; therefore q,If p then q; not q; therefore not p,If p then q; q; therefore p,A,,,
GNS106,African philosophy of aesthetics deals with:,Beauty,Reality,Knowledge,Ethics,A,,,
GNS106,African social and political philosophy focuses on:,Ideal governance,Moral conduct,Logical reasoning,Language analysis,A,,,
GNS106,The philosopher who likened philosophy to a midwife? role is:,Socrates,Aristotle,Plato,Kierkegaard,A,,,
GNS106,The deductive method was formalized by:,Socrates,Aristotle,Locke,Kant,B,,,
GNS106,The truth value of p ? ?q when p is True and q is False is:,TRUE,FALSE,Undetermined,None,A,,,
GNS106,The truth value of ?p ? q when p is False and q is True is:,TRUE,FALSE,Undetermined,None,A,,,
GNS106,The truth value of (p ? q) ? ?p when p is True and q is False is:,TRUE,FALSE,Undetermined,None,B,,,
GNS106,The truth value of (p ? q) ? p when p is False and q is False is:,TRUE,FALSE,Undetermined,None,B,,,
GNS106,The philosophical method that analyzes language to resolve disputes is:,Socratic,Analytic,Deductive,Phenomenological,B,,,
GNS106,The Vienna Circle is associated with:,Logical Positivism,Existentialism,Phenomenology,Socratic Method,A,,,
GNS106,The moral theory that emphasizes duty over consequences is:,Deontology,Utilitarianism,Hedonism,Egoism,A,,,
GNS106,The philosopher who introduced utilitarianism is:,Bentham,Sartre,Husserl,Locke,A,,,
GNS106,The theory that existence precedes essence is associated with:,Existentialism,Utilitarianism,Deontology,Hedonism,A,,,
GNS106,The African philosopher who emphasized myths and proverbs is:,Tempels,Okolo,Hountondji,Gbadegesin,A,,,
GNS106,The study of African philosophy helps eliminate:,Superstitions,Scientific errors,Logical fallacies,Moral dilemmas,A,,,
GNS106,The branch of philosophy that studies reasoning is:,Ethics,Metaphysics,Epistemology,Logic,D,,,
GNS106,The philosopher who defined knowledge as justified true belief is:,Plato,Aristotle,Locke,Kant,A,,,
GNS106,The theory that all knowledge comes from sensory experience is:,Rationalism,Empiricism,Skepticism,Idealism,B,,,
GNS106,The metaphysical theory that only matter exists is:,Idealism,Materialism,Existentialism,Skepticism,B,,,
GNS106,The fallacy of assuming the whole has the properties of its parts is:,Division,Composition,Equivocation,False cause,B,,,
GNS106,The fallacy of assuming the parts have the properties of the whole is:,Division,Composition,Equivocation,False cause,A,,,
GNS106,The fallacy of using a term ambiguously is:,Division,Composition,Equivocation,False cause,C,,,
GNS106,The rule of inference that is invalid is:,Modus Ponens,Modus Tollens,Affirming the consequent,Constructive Dilemma,C,,,
GNS106,The logical connective for exclusive disjunction is:,Vel,Tilde,Horseshoe,Xor,D,,,
GNS106,The truth value of p ? q when p is True and q is True is:,TRUE,FALSE,Undetermined,None,B,,,
GNS106,The truth value of p ? q when p is False and q is False is:,TRUE,FALSE,Undetermined,None,B,,,
GNS106,The Socratic method aims to uncover:,Truth,Knowledge,Beliefs,Values,A,,,
GNS106,The deductive method ensures conclusions are:,Certain,Probable,Uncertain,None,A,,,
GNS106,The inductive method relies on:,Observations,Generalizations,Both A and B,None,C,,,
GNS106,The philosopher who criticized metaphysics for lack of verification is:,Wittgenstein,Socrates,Aristotle,Ayer,A,,,
GNS106,The moral theory that focuses on personal conviction is:,Existentialism,Utilitarianism,Hedonism,Deontology,A,,,
GNS106,The African philosophy of law includes:,Indigenous laws,Human rights,Contracts,All of the above,D,,,
GNS106,The quotation about philosophy as a rational search is by:,Omoregbe,Socrates,Aristotle,Plato,A,,,
GNS106,The philosophy of technology reflects on:,Methods and techniques,Reality,Ethics,Knowledge,A,,,
GNS106,The problem of freewill is studied in:,Metaphysics,Epistemology,Ethics,Logic,A,,,
GNS106,The law of thought that ensures a proposition is true or false is:,Identity,Contradiction,Excluded Middle,None,C,,,
GNS106,The symbol for a conditional statement is:,Vel,Tilde,Horseshoe,Dot,C,,,
GNS106,The fallacy of appeal to authority is known as:,Argumentum ad Baculum,Argumentum ad Verecundiam,Argumentum ad Hominem,Argumentum ad Populum,B,,,
GNS106,An argument is invalid if:,Premises can be true and conclusion false,Premises are false,Conclusion is true,None,A,,,
GNS106,The African philosophy of aesthetics studies:,Beauty,Reality,Knowledge,Ethics,A,,,
GNS106,The philosopher who emphasized subjective truth is:,Kierkegaard,Socrates,Aristotle,Locke,A,,,
GNS106,The theory that morality is based on utility is:,Utilitarianism,Egoism,Hedonism,Altruism,A,,,
GNS106,The philosopher who introduced situation ethics is:,Fletcher,Bentham,Mill,Comte,A,,,
GNS106,The theory that man is answerable only to himself is:,Existentialism,Utilitarianism,Hedonism,Theism,A,,,
GNS106,The African philosopher who categorized philosophy into four types is:,Gbadegesin,Okolo,Tempels,Hountondji,A,,,
GNS106,The study of African philosophy clarifies:,African worldview,Scientific methods,Logical proofs,Moral rules,A,,,
GNS106,The branch of philosophy that studies moral language is:,Ethics,Metaphysics,Epistemology,Analytic,A,,,
GNS106,The truth value of (p ? q) ? ?p when p is True and q is False is:,TRUE,FALSE,Undetermined,None,B,,,
GNS106,The truth value of ?(p ? q) when p is False and q is True is:,TRUE,FALSE,Undetermined,None,B,,,
GNS106,The truth value of (p ? q) ? p when p is True and q is False is:,TRUE,FALSE,Undetermined,None,A,,,
GNS106,The philosophical method that emphasizes lived experience is:,Socratic,Phenomenological,Deductive,Analytic,B,,,
GNS106,The Logical Positivists rejected statements that are:,Unverifiable,Subjective,Abstract,All of the above,A,,,
GNS106,The moral theory that emphasizes self-interest is:,Egoism,Altruism,Utilitarianism,Hedonism,A,,,
GNS106,The philosopher who equated pleasure with the good is:,Epicurus,Socrates,Aristotle,Locke,A,,,
GNS106,The African philosophy of ethics deals with:,Good and evil,Morality,Obligation,All of the above,D,,,
GNS106,The law of thought that states A is A is:,Identity,Contradiction,Excluded Middle,None,A,,,
GNS106,The symbol for exclusive disjunction is:,Vel,Tilde,Horseshoe,Xor,D,,,
GNS106,The fallacy of appeal to popular prejudice is:,Argumentum ad Populum,Argumentum ad Baculum,Argumentum ad Hominem,Argumentum ad Ignorantiam,A,,,
GNS106,An argument? validity depends on its:,Content,Structure,Truth,Conclusion,B,,,
GNS106,The Socratic method is used to:,Elicit truth,Prove theorems,Analyze language,Observe phenomena,A,,,
GNS106,The deductive method was introduced by:,Aristotle,Socrates,Locke,Kant,A,,,
GNS106,The phenomenological method focuses on:,Awareness,Reality,Logic,Language,A,,,
GNS106,The term 'Tabula Rasa' refers to a:,Blank slate,Clean slate,Empty mind,All of the above,D,,,
GNS106,The moral theory that emphasizes duty is:,Deontology,Utilitarianism,Hedonism,Egoism,A,,,
GNS106,The African philosophy of law studies:,Indigenous laws,Human rights,Contracts,All of the above,D,,,
GNS106,The quotation about philosophy as a happy life is by:,Epicurus,Socrates,Aristotle,Plato,A,,,
GNS106,The problem of induction is a:,Philosophical problem,Scientific problem,Technical problem,Cultural problem,A,,,
GNS106,The law of excluded middle is a:,Law of thought,Law of nature,Law of ethics,Law of logic,A,,,
GNS106,The symbol for negation is a:,Tilde,Horseshoe,Vel,Dot,A,,,
GNS106,The fallacy of hasty generalization involves:,Jumping to conclusions,False causes,Ambiguous terms,Attacking the person,A,,,
GNS106,The African philosophy of aesthetics deals with:,Beauty,Reality,Knowledge,Ethics,A,,,
GNS106,The philosopher who emphasized individual freedom is:,Sartre,Socrates,Aristotle,Locke,A,,,
GNS106,The theory that morality is based on utility is:,Utilitarianism,Egoism,Hedonism,Altruism,A,,,
GNS106,The philosopher who introduced situation ethics is:,Fletcher,Bentham,Mill,Comte,A,,,
GNS106,The theory that man is answerable only to himself is:,Existentialism,Utilitarianism,Hedonism,Theism,A,,,
GNS106,The African philosopher who categorized philosophy into four types is:,Gbadegesin,Okolo,Tempels,Hountondji,A,,,
GNS106,The study of African philosophy clarifies:,African worldview,Scientific methods,Logical proofs,Moral rules,A,,,
GNS106,The branch of philosophy that studies moral language is:,Ethics,Metaphysics,Epistemology,Analytic,A,,,
GNS106,The truth value of (p ? q) ? ?p when p is True and q is False is:,TRUE,FALSE,Undetermined,None,B,,,
GNS106,The truth value of ?(p ? q) when p is False and q is True is:,TRUE,FALSE,Undetermined,None,B,,,
GNS106,The truth value of (p ? q) ? p when p is True and q is False is:,TRUE,FALSE,Undetermined,None,A,,,
GNS106,The philosophical method that emphasizes lived experience is:,Socratic,Phenomenological,Deductive,Analytic,B,,,
GNS106,The Logical Positivists rejected statements that are:,Unverifiable,Subjective,Abstract,All of the above,A,,,
GNS106,The moral theory that emphasizes self-interest is:,Egoism,Altruism,Utilitarianism,Hedonism,A,,,
GNS106,The philosopher who equated pleasure with the good is:,Epicurus,Socrates,Aristotle,Locke,A,,,
GNS106,The African philosophy of ethics deals with:,Good and evil,Morality,Obligation,All of the above,D,,,
GNS106,The law of thought that states A is A is:,Identity,Contradiction,Excluded Middle,None,A,,,
GNS106,The symbol for exclusive disjunction is:,Vel,Tilde,Horseshoe,Xor,D,,,
GNS106,The fallacy of appeal to popular prejudice is:,Argumentum ad Populum,Argumentum ad Baculum,Argumentum ad Hominem,Argumentum ad Ignorantiam,A,,,
GNS106,An argument? validity depends on its:,Content,Structure,Truth,Conclusion,B,,,
GNS106,The philosopher who likened philosophy to a midwife? role is:,Socrates,Aristotle,Plato,Kierkegaard,A,,,
GNS106,The deductive method was formalized by:,Socrates,Aristotle,Locke,Kant,B,,,
GNS106,The truth value of p ? ?q when p is True and q is False is:,TRUE,FALSE,Undetermined,None,A,,,
GNS106,The truth value of ?p ? q when p is False and q is True is:,TRUE,FALSE,Undetermined,None,A,,,
GNS106,The truth value of (p ? q) ? ?p when p is True and q is False is:,TRUE,FALSE,Undetermined,None,B,,,
