course,question,optionA,optionB,optionC,optionD,correctAnswer,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3CHO with NH2OH produces what?,An oxime,An amine,An amide,An enamine,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a property of halogens?,High electronegativity,Form ionic bonds,Low reactivity,Metallic,A,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2CH=CH2 with H2O/H2SO4/HgSO4?,Butan-1-ol,Butan-2-ol,Butanal,Butanone,D,,,,,,,,,,,,,,,,
CHE102,The IUPAC name of CH3CH2OCH2CH3 is,Ethoxyethane,Dimethyl ether,Ethyl methyl ether,Methoxymethane,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a product of incomplete combustion of hydrocarbons?,CO2,H2O,CO,O2,C,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3COOH with LiAlH4 produces what?,Ethanol,Ethanal,Acetic acid,Ethane,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is not a characteristic of alkenes?,Contain double bonds,Undergo substitution reactions,Form geometric isomers,Unsaturated,B,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH(OH)CH3?,Propan-1-ol,Propan-2-ol,Butan-1-ol,Ethanol,B,,,,,,,,,,,,,,,,
CHE102,The reaction of benzene with CH3COCl/AlCl3 produces what?,Acetophenone,Toluene,Benzyl chloride,Phenol,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a noble gas?,Nitrogen,Oxygen,Krypton,Fluorine,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3COOCH3 with LiAlH4 followed by hydrolysis?,Methanol and ethanol,Ethanol only,Methanol only,Methanol and ethanal,A,,,,,,,,,,,,,,,,
CHE102,The hybridization of carbon in ethyne is,sp,sp2,sp3,sp3d,A,,,,,,,,,,,,,,,,
CHE102,Which of the following compounds is least soluble in water?,CH3OH,CH3COOH,CH3(CH2)10OH,CH3CH2OH,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH=CH2 with HBr in the presence of peroxides?,1-Bromopropane,2-Bromopropane,Propyl bromide,No reaction,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a characteristic of carboxylic acids?,High boiling points due to hydrogen bonding,Low reactivity,Non-polar,Insoluble in organic solvents,A,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH2CH2COOCH2CH3?,Ethyl butanoate,Methyl butanoate,Ethyl propanoate,Methyl propanoate,A,,,,,,,,,,,,,,,,
CHE102,The reaction of an alkyne with KMnO4 in cold dilute conditions produces what?,A diol,An acid,A ketone,An aldehyde,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a property of graphite?,High hardness,Low electrical conductivity,Soft and slippery,Covalent network structure,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2CH2CHO with LiAlH4 followed by hydrolysis?,Butan-1-ol,Butan-2-ol,Butanal,Butane,A,,,,,,,,,,,,,,,,
CHE102,The IUPAC name of CH3CH(CH3)CH=CH2 is,3-Methylbut-1-ene,2-Methylbut-1-ene,3-Methylbut-2-ene,2-Methylbut-2-ene,A,,,,,,,,,,,,,,,,
CHE102,Which reagent converts an alkyne to a cis-alkene?,H2/Pd,H2/Lindlar’s catalyst,Na/NH3,LiAlH4,B,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3COCl with NH3 produces what?,An amine,An amide,An imine,A nitrile,B,,,,,,,,,,,,,,,,
CHE102,Which of the following is a meta-directing group in benzene?,–NH2,–OCH3,–NO2,–CH3,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the ozonolysis of 1-hexene followed by reductive workup?,Pentanal and methanal,Butanal and ethanal,Pentanal only,Ethanal only,A,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3CH2OH with PCl5 produces what?,CH3CH2Cl,CH3Cl,CH3CH2PO4,CH3CHO,A,,,,,,,,,,,,,,,,
CHE102,Which of the following has the highest boiling point?,Heptane,Heptanol,Heptanal,Heptanone,B,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH2CH2CH2COOH?,Pentanoic acid,Butanoic acid,Hexanoic acid,Propanoic acid,A,,,,,,,,,,,,,,,,
CHE102,The reaction of an aldehyde with Tollens’ reagent produces what?,A silver mirror,A red precipitate,An alcohol,A ketone,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is not a characteristic of transition metals?,Partially filled d-orbitals,Form colored compounds,High melting points,Low reactivity,D,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2COCH2CH3 with CH3MgBr followed by hydrolysis?,Pentan-3-ol,2-Methylbutan-2-ol,Pentan-2-ol,Hexan-3-ol,A,,,,,,,,,,,,,,,,
CHE102,The IUPAC name of CH3CH2CH2C=CH is,Hex-1-yne,Pent-1-yne,But-1-yne,Pent-2-yne,B,,,,,,,,,,,,,,,,
CHE102,Which reagent is used to convert an ester to a secondary alcohol?,LiAlH4,NaBH4,CH3MgBr,H2/Pt,C,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3CHO with NH2OH produces what?,An oxime,An amine,An amide,An enamine,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a property of halogens?,High electronegativity,Form ionic bonds,Low reactivity,Metallic,A,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2CH=CH2 with H2O/H2SO4/HgSO4?,Butan-1-ol,Butan-2-ol,Butanal,Butanone,D,,,,,,,,,,,,,,,,
CHE102,The IUPAC name of CH3CH2OCH2CH3 is,Ethoxyethane,Dimethyl ether,Ethyl methyl ether,Methoxymethane,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a product of incomplete combustion of hydrocarbons?,CO2,H2O,CO,O2,C,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3COOH with LiAlH4 produces what?,Ethanol,Ethanal,Acetic acid,Ethane,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is not a characteristic of alkenes?,Contain double bonds,Undergo substitution reactions,Form geometric isomers,Unsaturated,B,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH(OH)CH3?,Propan-1-ol,Propan-2-ol,Butan-1-ol,Ethanol,B,,,,,,,,,,,,,,,,
CHE102,The reaction of benzene with CH3COCl/AlCl3 produces what?,Acetophenone,Toluene,Benzyl chloride,Phenol,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a noble gas?,Nitrogen,Oxygen,Krypton,Fluorine,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3COOCH3 with LiAlH4 followed by hydrolysis?,Methanol and ethanol,Ethanol only,Methanol only,Methanol and ethanal,A,,,,,,,,,,,,,,,,
CHE102,The hybridization of carbon in ethyne is,sp,sp2,sp3,sp3d,A,,,,,,,,,,,,,,,,
CHE102,Which of the following compounds is least soluble in water?,CH3OH,CH3COOH,CH3(CH2)10OH,CH3CH2OH,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH=CH2 with HBr in the presence of peroxides?,1-Bromopropane,2-Bromopropane,Propyl bromide,No reaction,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a characteristic of carboxylic acids?,High boiling points due to hydrogen bonding,Low reactivity,Non-polar,Insoluble in organic solvents,A,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH2CH2COOCH2CH3?,Ethyl butanoate,Methyl butanoate,Ethyl propanoate,Methyl propanoate,A,,,,,,,,,,,,,,,,
CHE102,The reaction of an alkyne with KMnO4 in cold dilute conditions produces what?,A diol,An acid,A ketone,An aldehyde,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a property of graphite?,High hardness,Low electrical conductivity,Soft and slippery,Covalent network structure,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2CH2CHO with LiAlH4 followed by hydrolysis?,Butan-1-ol,Butan-2-ol,Butanal,Butane,A,,,,,,,,,,,,,,,,
CHE102,The IUPAC name of CH3CH(CH3)CH=CH2 is,3-Methylbut-1-ene,2-Methylbut-1-ene,3-Methylbut-2-ene,2-Methylbut-2-ene,A,,,,,,,,,,,,,,,,
CHE102,Which reagent converts an alkyne to a cis-alkene?,H2/Pd,H2/Lindlar’s catalyst,Na/NH3,LiAlH4,B,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3COCl with NH3 produces what?,An amine,An amide,An imine,A nitrile,B,,,,,,,,,,,,,,,,
CHE102,Which of the following is a meta-directing group in benzene?,–NH2,–OCH3,–NO2,–CH3,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the ozonolysis of 1-hexene followed by reductive workup?,Pentanal and methanal,Butanal and ethanal,Pentanal only,Ethanal only,A,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3CH2OH with PCl5 produces what?,CH3CH2Cl,CH3Cl,CH3CH2PO4,CH3CHO,A,,,,,,,,,,,,,,,,
CHE102,Which of the following has the highest boiling point?,Heptane,Heptanol,Heptanal,Heptanone,B,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH2CH2CH2COOH?,Pentanoic acid,Butanoic acid,Hexanoic acid,Propanoic acid,A,,,,,,,,,,,,,,,,
CHE102,The reaction of an aldehyde with Tollens’ reagent produces what?,A silver mirror,A red precipitate,An alcohol,A ketone,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is not a characteristic of transition metals?,Partially filled d-orbitals,Form colored compounds,High melting points,Low reactivity,D,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2COCH2CH3 with CH3MgBr followed by hydrolysis?,Pentan-3-ol,2-Methylbutan-2-ol,Pentan-2-ol,Hexan-3-ol,A,,,,,,,,,,,,,,,,
CHE102,The IUPAC name of CH3CH2CH2C=CH is,Hex-1-yne,Pent-1-yne,But-1-yne,Pent-2-yne,B,,,,,,,,,,,,,,,,
CHE102,Which reagent is used to convert an ester to a secondary alcohol?,LiAlH4,NaBH4,CH3MgBr,H2/Pt,C,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3CHO with NH2OH produces what?,An oxime,An amine,An amide,An enamine,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a property of halogens?,High electronegativity,Form ionic bonds,Low reactivity,Metallic,A,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2CH=CH2 with H2O/H2SO4/HgSO4?,Butan-1-ol,Butan-2-ol,Butanal,Butanone,D,,,,,,,,,,,,,,,,
CHE102,The IUPAC name of CH3CH2OCH2CH3 is,Ethoxyethane,Dimethyl ether,Ethyl methyl ether,Methoxymethane,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a product of incomplete combustion of hydrocarbons?,CO2,H2O,CO,O2,C,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3COOH with LiAlH4 produces what?,Ethanol,Ethanal,Acetic acid,Ethane,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is not a characteristic of alkenes?,Contain double bonds,Undergo substitution reactions,Form geometric isomers,Unsaturated,B,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH(OH)CH3?,Propan-1-ol,Propan-2-ol,Butan-1-ol,Ethanol,B,,,,,,,,,,,,,,,,
CHE102,The reaction of benzene with CH3COCl/AlCl3 produces what?,Acetophenone,Toluene,Benzyl chloride,Phenol,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a noble gas?,Nitrogen,Oxygen,Krypton,Fluorine,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3COOCH3 with LiAlH4 followed by hydrolysis?,Methanol and ethanol,Ethanol only,Methanol only,Methanol and ethanal,A,,,,,,,,,,,,,,,,
CHE102,The hybridization of carbon in ethyne is,sp,sp2,sp3,sp3d,A,,,,,,,,,,,,,,,,
CHE102,Which of the following compounds is least soluble in water?,CH3OH,CH3COOH,CH3(CH2)10OH,CH3CH2OH,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH=CH2 with HBr in the presence of peroxides?,1-Bromopropane,2-Bromopropane,Propyl bromide,No reaction,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a characteristic of carboxylic acids?,High boiling points due to hydrogen bonding,Low reactivity,Non-polar,Insoluble in organic solvents,A,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH2CH2COOCH2CH3?,Ethyl butanoate,Methyl butanoate,Ethyl propanoate,Methyl propanoate,A,,,,,,,,,,,,,,,,
CHE102,The reaction of an alkyne with KMnO4 in cold dilute conditions produces what?,A diol,An acid,A ketone,An aldehyde,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a property of graphite?,High hardness,Low electrical conductivity,Soft and slippery,Covalent network structure,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2CH2CHO with LiAlH4 followed by hydrolysis?,Butan-1-ol,Butan-2-ol,Butanal,Butane,A,,,,,,,,,,,,,,,,
CHE102,The IUPAC name of CH3CH(CH3)CH=CH2 is,3-Methylbut-1-ene,2-Methylbut-1-ene,3-Methylbut-2-ene,2-Methylbut-2-ene,A,,,,,,,,,,,,,,,,
CHE102,Which reagent converts an alkyne to a cis-alkene?,H2/Pd,H2/Lindlar’s catalyst,Na/NH3,LiAlH4,B,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3COCl with NH3 produces what?,An amine,An amide,An imine,A nitrile,B,,,,,,,,,,,,,,,,
CHE102,Which of the following is a meta-directing group in benzene?,–NH2,–OCH3,–NO2,–CH3,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the ozonolysis of 1-hexene followed by reductive workup?,Pentanal and methanal,Butanal and ethanal,Pentanal only,Ethanal only,A,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3CH2OH with PCl5 produces what?,CH3CH2Cl,CH3Cl,CH3CH2PO4,CH3CHO,A,,,,,,,,,,,,,,,,
CHE102,Which of the following has the highest boiling point?,Heptane,Heptanol,Heptanal,Heptanone,B,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH2CH2CH2COOH?,Pentanoic acid,Butanoic acid,Hexanoic acid,Propanoic acid,A,,,,,,,,,,,,,,,,
CHE102,The reaction of an aldehyde with Tollens’ reagent produces what?,A silver mirror,A red precipitate,An alcohol,A ketone,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is not a characteristic of transition metals?,Partially filled d-orbitals,Form colored compounds,High melting points,Low reactivity,D,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2COCH2CH3 with CH3MgBr followed by hydrolysis?,Pentan-3-ol,2-Methylbutan-2-ol,Pentan-2-ol,Hexan-3-ol,A,,,,,,,,,,,,,,,,
CHE102,The IUPAC name of CH3CH2CH2C=CH is,Hex-1-yne,Pent-1-yne,But-1-yne,Pent-2-yne,B,,,,,,,,,,,,,,,,
CHE102,Which reagent is used to convert an ester to a secondary alcohol?,LiAlH4,NaBH4,CH3MgBr,H2/Pt,C,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3CHO with NH2OH produces what?,An oxime,An amine,An amide,An enamine,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a property of halogens?,High electronegativity,Form ionic bonds,Low reactivity,Metallic,A,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2CH=CH2 with H2O/H2SO4/HgSO4?,Butan-1-ol,Butan-2-ol,Butanal,Butanone,D,,,,,,,,,,,,,,,,
CHE102,The IUPAC name of CH3CH2OCH2CH3 is,Ethoxyethane,Dimethyl ether,Ethyl methyl ether,Methoxymethane,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a product of incomplete combustion of hydrocarbons?,CO2,H2O,CO,O2,C,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3COOH with LiAlH4 produces what?,Ethanol,Ethanal,Acetic acid,Ethane,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is not a characteristic of alkenes?,Contain double bonds,Undergo substitution reactions,Form geometric isomers,Unsaturated,B,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH(OH)CH3?,Propan-1-ol,Propan-2-ol,Butan-1-ol,Ethanol,B,,,,,,,,,,,,,,,,
CHE102,The reaction of benzene with CH3COCl/AlCl3 produces what?,Acetophenone,Toluene,Benzyl chloride,Phenol,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a noble gas?,Nitrogen,Oxygen,Krypton,Fluorine,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3COOCH3 with LiAlH4 followed by hydrolysis?,Methanol and ethanol,Ethanol only,Methanol only,Methanol and ethanal,A,,,,,,,,,,,,,,,,
CHE102,The hybridization of carbon in ethyne is,sp,sp2,sp3,sp3d,A,,,,,,,,,,,,,,,,
CHE102,Which of the following compounds is least soluble in water?,CH3OH,CH3COOH,CH3(CH2)10OH,CH3CH2OH,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH=CH2 with HBr in the presence of peroxides?,1-Bromopropane,2-Bromopropane,Propyl bromide,No reaction,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a characteristic of carboxylic acids?,High boiling points due to hydrogen bonding,Low reactivity,Non-polar,Insoluble in organic solvents,A,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH2CH2COOCH2CH3?,Ethyl butanoate,Methyl butanoate,Ethyl propanoate,Methyl propanoate,A,,,,,,,,,,,,,,,,
CHE102,The reaction of an alkyne with KMnO4 in cold dilute conditions produces what?,A diol,An acid,A ketone,An aldehyde,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a property of graphite?,High hardness,Low electrical conductivity,Soft and slippery,Covalent network structure,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2CH2CHO with LiAlH4 followed by hydrolysis?,Butan-1-ol,Butan-2-ol,Butanal,Butane,A,,,,,,,,,,,,,,,,
CHE102,The IUPAC name of CH3CH(CH3)CH=CH2 is,3-Methylbut-1-ene,2-Methylbut-1-ene,3-Methylbut-2-ene,2-Methylbut-2-ene,A,,,,,,,,,,,,,,,,
CHE102,Which reagent converts an alkyne to a cis-alkene?,H2/Pd,H2/Lindlar’s catalyst,Na/NH3,LiAlH4,B,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3COCl with NH3 produces what?,An amine,An amide,An imine,A nitrile,B,,,,,,,,,,,,,,,,
CHE102,Which of the following is a meta-directing group in benzene?,–NH2,–OCH3,–NO2,–CH3,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the ozonolysis of 1-hexene followed by reductive workup?,Pentanal and methanal,Butanal and ethanal,Pentanal only,Ethanal only,A,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3CH2OH with PCl5 produces what?,CH3CH2Cl,CH3Cl,CH3CH2PO4,CH3CHO,A,,,,,,,,,,,,,,,,
CHE102,Which of the following has the highest boiling point?,Heptane,Heptanol,Heptanal,Heptanone,B,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH2CH2CH2COOH?,Pentanoic acid,Butanoic acid,Hexanoic acid,Propanoic acid,A,,,,,,,,,,,,,,,,
CHE102,The reaction of an aldehyde with Tollens’ reagent produces what?,A silver mirror,A red precipitate,An alcohol,A ketone,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is not a characteristic of transition metals?,Partially filled d-orbitals,Form colored compounds,High melting points,Low reactivity,D,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2COCH2CH3 with CH3MgBr followed by hydrolysis?,Pentan-3-ol,2-Methylbutan-2-ol,Pentan-2-ol,Hexan-3-ol,A,,,,,,,,,,,,,,,,
CHE102,The IUPAC name of CH3CH2CH2C=CH is,Hex-1-yne,Pent-1-yne,But-1-yne,Pent-2-yne,B,,,,,,,,,,,,,,,,
CHE102,Which reagent is used to convert an ester to a secondary alcohol?,LiAlH4,NaBH4,CH3MgBr,H2/Pt,C,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3CHO with NH2OH produces what?,An oxime,An amine,An amide,An enamine,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a property of halogens?,High electronegativity,Form ionic bonds,Low reactivity,Metallic,A,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2CH=CH2 with H2O/H2SO4/HgSO4?,Butan-1-ol,Butan-2-ol,Butanal,Butanone,D,,,,,,,,,,,,,,,,
CHE102,The IUPAC name of CH3CH2OCH2CH3 is,Ethoxyethane,Dimethyl ether,Ethyl methyl ether,Methoxymethane,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a product of incomplete combustion of hydrocarbons?,CO2,H2O,CO,O2,C,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3COOH with LiAlH4 produces what?,Ethanol,Ethanal,Acetic acid,Ethane,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is not a characteristic of alkenes?,Contain double bonds,Undergo substitution reactions,Form geometric isomers,Unsaturated,B,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH(OH)CH3?,Propan-1-ol,Propan-2-ol,Butan-1-ol,Ethanol,B,,,,,,,,,,,,,,,,
CHE102,The reaction of benzene with CH3COCl/AlCl3 produces what?,Acetophenone,Toluene,Benzyl chloride,Phenol,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a noble gas?,Nitrogen,Oxygen,Krypton,Fluorine,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3COOCH3 with LiAlH4 followed by hydrolysis?,Methanol and ethanol,Ethanol only,Methanol only,Methanol and ethanal,A,,,,,,,,,,,,,,,,
CHE102,The hybridization of carbon in ethyne is,sp,sp2,sp3,sp3d,A,,,,,,,,,,,,,,,,
CHE102,Which of the following compounds is least soluble in water?,CH3OH,CH3COOH,CH3(CH2)10OH,CH3CH2OH,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH=CH2 with HBr in the presence of peroxides?,1-Bromopropane,2-Bromopropane,Propyl bromide,No reaction,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a characteristic of carboxylic acids?,High boiling points due to hydrogen bonding,Low reactivity,Non-polar,Insoluble in organic solvents,A,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH2CH2COOCH2CH3?,Ethyl butanoate,Methyl butanoate,Ethyl propanoate,Methyl propanoate,A,,,,,,,,,,,,,,,,
CHE102,The reaction of an alkyne with KMnO4 in cold dilute conditions produces what?,A diol,An acid,A ketone,An aldehyde,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a property of graphite?,High hardness,Low electrical conductivity,Soft and slippery,Covalent network structure,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2CH2CHO with LiAlH4 followed by hydrolysis?,Butan-1-ol,Butan-2-ol,Butanal,Butane,A,,,,,,,,,,,,,,,,
CHE102,The IUPAC name of CH3CH(CH3)CH=CH2 is,3-Methylbut-1-ene,2-Methylbut-1-ene,3-Methylbut-2-ene,2-Methylbut-2-ene,A,,,,,,,,,,,,,,,,
CHE102,Which reagent converts an alkyne to a cis-alkene?,H2/Pd,H2/Lindlar’s catalyst,Na/NH3,LiAlH4,B,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3COCl with NH3 produces what?,An amine,An amide,An imine,A nitrile,B,,,,,,,,,,,,,,,,
CHE102,Which of the following is a meta-directing group in benzene?,–NH2,–OCH3,–NO2,–CH3,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the ozonolysis of 1-hexene followed by reductive workup?,Pentanal and methanal,Butanal and ethanal,Pentanal only,Ethanal only,A,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3CH2OH with PCl5 produces what?,CH3CH2Cl,CH3Cl,CH3CH2PO4,CH3CHO,A,,,,,,,,,,,,,,,,
CHE102,Which of the following has the highest boiling point?,Heptane,Heptanol,Heptanal,Heptanone,B,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH2CH2CH2COOH?,Pentanoic acid,Butanoic acid,Hexanoic acid,Propanoic acid,A,,,,,,,,,,,,,,,,
CHE102,The reaction of an aldehyde with Tollens’ reagent produces what?,A silver mirror,A red precipitate,An alcohol,A ketone,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is not a characteristic of transition metals?,Partially filled d-orbitals,Form colored compounds,High melting points,Low reactivity,D,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2COCH2CH3 with CH3MgBr followed by hydrolysis?,Pentan-3-ol,2-Methylbutan-2-ol,Pentan-2-ol,Hexan-3-ol,A,,,,,,,,,,,,,,,,
CHE102,The IUPAC name of CH3CH2CH2C=CH is,Hex-1-yne,Pent-1-yne,But-1-yne,Pent-2-yne,B,,,,,,,,,,,,,,,,
CHE102,Which reagent is used to convert an ester to a secondary alcohol?,LiAlH4,NaBH4,CH3MgBr,H2/Pt,C,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3CHO with NH2OH produces what?,An oxime,An amine,An amide,An enamine,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a property of halogens?,High electronegativity,Form ionic bonds,Low reactivity,Metallic,A,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2CH=CH2 with H2O/H2SO4/HgSO4?,Butan-1-ol,Butan-2-ol,Butanal,Butanone,D,,,,,,,,,,,,,,,,
CHE102,The IUPAC name of CH3CH2OCH2CH3 is,Ethoxyethane,Dimethyl ether,Ethyl methyl ether,Methoxymethane,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a product of incomplete combustion of hydrocarbons?,CO2,H2O,CO,O2,C,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3COOH with LiAlH4 produces what?,Ethanol,Ethanal,Acetic acid,Ethane,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is not a characteristic of alkenes?,Contain double bonds,Undergo substitution reactions,Form geometric isomers,Unsaturated,B,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH(OH)CH3?,Propan-1-ol,Propan-2-ol,Butan-1-ol,Ethanol,B,,,,,,,,,,,,,,,,
CHE102,The reaction of benzene with CH3COCl/AlCl3 produces what?,Acetophenone,Toluene,Benzyl chloride,Phenol,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a noble gas?,Nitrogen,Oxygen,Krypton,Fluorine,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3COOCH3 with LiAlH4 followed by hydrolysis?,Methanol and ethanol,Ethanol only,Methanol only,Methanol and ethanal,A,,,,,,,,,,,,,,,,
CHE102,The hybridization of carbon in ethyne is,sp,sp2,sp3,sp3d,A,,,,,,,,,,,,,,,,
CHE102,Which of the following compounds is least soluble in water?,CH3OH,CH3COOH,CH3(CH2)10OH,CH3CH2OH,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH=CH2 with HBr in the presence of peroxides?,1-Bromopropane,2-Bromopropane,Propyl bromide,No reaction,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a characteristic of carboxylic acids?,High boiling points due to hydrogen bonding,Low reactivity,Non-polar,Insoluble in organic solvents,A,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH2CH2COOCH2CH3?,Ethyl butanoate,Methyl butanoate,Ethyl propanoate,Methyl propanoate,A,,,,,,,,,,,,,,,,
CHE102,The reaction of an alkyne with KMnO4 in cold dilute conditions produces what?,A diol,An acid,A ketone,An aldehyde,A,,,,,,,,,,,,,,,,
CHE102,Which of the following is a property of graphite?,High hardness,Low electrical conductivity,Soft and slippery,Covalent network structure,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of CH3CH2CH2CHO with LiAlH4 followed by hydrolysis?,Butan-1-ol,Butan-2-ol,Butanal,Butane,A,,,,,,,,,,,,,,,,
